Symbol,Name,Sector,
MMM,3M,Industrials,
AOS,A.O. Smith Corp,Industrials,
ABT,Abbott Laboratories,Health Care,
ABBV,AbbVie ,Health Care,
ACN,Accenture,Information Technology,
ATVI,Activision Blizzard,Information Technology,
AYI,Acuity Brands,Industrials,
ADBE,Adobe Systems,Information Technology,
AAP,Advance Auto Parts,Consumer Discretionary,
AMD,Advanced Micro Devices,Information Technology,
AES,AES Corp,Utilities,
AMG,Affiliated Managers,Financials,
AFL,AFLAC,Financials,
A,Agilent Technologies,Health Care,
APD,Air Products & Chemicals,Materials,
AKAM,Akamai Technologies,Information Technology,
ALK,Alaska Air,Industrials,
ALB,Albemarle,Materials,
ARE,Alexandria Real Estate Equities Inc,Real Estate,
ALXN,Alexion Pharmaceuticals,Health Care,
ALGN,Align Technology,Health Care,
ALLE,Allegion,Industrials,
AGN,Allergan,Health Care,
ADS,Alliance Data Systems,Information Technology,
LNT,Alliant Energy,Utilities,
ALL,Allstate,Financials,
GOOGL,Alphabet,Information Technology,
GOOG,Alphabet,Information Technology,
MO,Altria,Consumer Staples,
AMZN,Amazon,Consumer Discretionary,
AEE,Ameren,Utilities,
AAL,American Airlines,Industrials,
AEP,American Electric Power,Utilities,
AXP,American Express,Financials,
AIG,American International,Financials,
AMT,American Tower,Real Estate,
AWK,American Water Works Company,Utilities,
AMP,Ameriprise Financial,Financials,
ABC,AmerisourceBergen,Health Care,
AME,AMETEK ,Industrials,
AMGN,Amgen ,Health Care,
APH,Amphenol,Information Technology,
ADI,Analog Devices,Information Technology,
ANDV,Andeavor,Energy,
ANSS,ANSYS,Information Technology,
ANTM,Anthem ,Health Care,
AON,Aon ,Financials,
APA,Apache Corporation,Energy,
AIV,Apartment Investment & Management,Real Estate,
AAPL,Apple ,Information Technology,
AMAT,Applied Materials ,Information Technology,
APTV,Aptiv ,Consumer Discretionary,
ADM,Archer-Daniels-Midland,Consumer Staples,
ARNC,Arconic ,Industrials,
AJG,Arthur J. Gallagher,Financials,
AIZ,Assurant ,Financials,
T,AT&T ,Telecommunication Services,
ADSK,Autodesk ,Information Technology,
ADP,Automatic Data Processing,Information Technology,
AZO,AutoZone,Consumer, Discretionary
AVB,AvalonBay Communities ,Real Estate,
AVY,Avery Dennison,Materials,
BLL,Ball Corp,Materials,
BAC,Bank of America Corp,Financials,
BAX,Baxter International ,Health Care,
BBT,BB&T Corporation,Financials,
BDX,Becton Dickinson,Health Care,
BBY,Best Buy ,Consumer Discretionary,
BIIB,Biogen ,Health Care,
BLK,BlackRock,Financials,
HRB,Block H&R,Financials,
BA,Boeing,Industrials,
BKNG,Booking,Consumer Discretionary,
BWA,BorgWarner,Consumer Discretionary,
BXP,Boston Properties,Real Estate,
BSX,Boston Scientific,Health Care,
BHF,Brighthouse Financial,Financials,
BMY,Bristol-Myers Squibb,Health Care,
AVGO,Broadcom,Information Technology,
CHRW,C. H. Robinson Worldwide,Industrials,
CA,CA,Information Technology,
COG,Cabot Oil & Gas,Energy,
CDNS,Cadence Design Systems,Information Technology,
CPB,Campbell Soup,Consumer Staples,
COF,Capital One Financial,Financials,
CAH,Cardinal Health ,Health Care,
KMX,Carmax,Consumer Discretionary,
CCL,Carnival ,Consumer Discretionary,
